Toa	Q_at_f1_Tr1	Q_at_f1_Tr2	Q_at_f1_Tr3	Q_at_f2_Tr1	Q_at_f2_Tr2	Q_at_f2_Tr3	Q_at_f3_Tr1	Q_at_f3_Tr2	Q_at_f3_Tr3
-26.100	1.091	1.063	1.011	2.368	2.308	2.194	3.540	3.450	3.280
-20.600	1.393	1.359	1.291	3.024	2.950	2.803	4.520	4.410	4.190
-15.000	1.538	1.498	1.424	3.338	3.251	3.091	4.990	4.860	4.620
-10.000	1.612	1.572	1.495	3.499	3.412	3.245	5.230	5.100	4.850
-5.000	1.763	1.720	1.633	3.827	3.733	3.546	5.720	5.580	5.300
0.000	1.812	1.769	1.679	3.934	3.840	3.646	5.880	5.740	5.450
5.000	1.981	1.932	1.837	4.302	4.195	3.987	6.430	6.270	5.960
8.300	2.046	1.997	1.895	4.442	4.335	4.114	6.640	6.480	6.150
10.000	2.262	2.206	2.095	4.910	4.790	4.549	7.340	7.160	6.800
15.000	2.342	2.287	2.173	5.084	4.964	4.716	7.600	7.420	7.050
