 TIME                    	time                     	freq                     	Toa                      	Tr                       	RHr                      	Ts-exp                   	Ts-sim                   	RHs-exp                  	RHs-sim                  	Pel-exp                  	Pel-sim                  	Qc-exp                   	Qc-sim                   	Qcs-exp                  	Qcs-sim                  	Qcl-exp                  	Qcl-sim                  	
  +0.0000000000000000E+00	  +6.0000000000000000E+01	  +5.3814000000000000E+01	  +4.1524000000000001E+01	  +2.5384000000000000E+01	  +3.9826000000000001E+01	  +1.3465000000000000E+01	  +1.3134627248657752E+01	  +6.2863000000000000E+01	  +6.2849417447738276E+01	  +8.6231999999999998E-01	  +8.9459602640842095E-01	  +3.5315288888888889E+00	  +3.6617668237230689E+00	  +2.4780863888888893E+00	  +2.5452710844085695E+00	  +1.0534425000000001E+00	  +1.1164957393144994E+00
  +1.6666666666666666E-02	  +6.0000000000000000E+01	  +5.3814000000000000E+01	  +4.1524000000000001E+01	  +2.5384000000000000E+01	  +3.9826000000000001E+01	  +1.3465000000000000E+01	  +1.3134627248657752E+01	  +6.2863000000000000E+01	  +6.2849417447738276E+01	  +8.6231999999999998E-01	  +8.9459602640842095E-01	  +3.5315288888888889E+00	  +3.6617668237230689E+00	  +2.4780863888888893E+00	  +2.5452710844085695E+00	  +1.0534425000000001E+00	  +1.1164957393144994E+00	
  +3.3333333333333333E-02	  +1.2000000000000000E+02	  +5.2259999999999998E+01	  +4.1503999999999998E+01	  +2.5358000000000001E+01	  +6.6013999999999996E+01	  +1.3430999999999999E+01	  +1.4586553851403298E+01	  +7.1114999999999995E+01	  +5.9614493980322571E+01	  +8.5424361111111113E-01	  +8.5950404831278193E-01	  +3.5168744444444444E+00	  +3.5681826393942306E+00	  +1.4714516666666666E+00	  +1.3268688266930946E+00	  +2.0454227777777776E+00	  +2.2413138127011361E+00	
  +5.0000000000000003E-02	  +1.8000000000000000E+02	  +5.3216000000000001E+01	  +4.1680999999999997E+01	  +2.5428000000000001E+01	  +5.6597999999999999E+01	  +1.3439000000000000E+01	  +1.0940316719064304E+01	  +4.9871000000000002E+01	  +6.7837301370938761E+01	  +8.6716277777777784E-01	  +8.8152696784842111E-01	  +3.5482158333333333E+00	  +3.6206579393464877E+00	  +1.4668286111111111E+00	  +1.7745540612519282E+00	  +2.0813872222222223E+00	  +1.8461038780945596E+00	
  +6.6666666666666666E-02	  +2.4000000000000000E+02	  +5.4505000000000003E+01	  +4.1003000000000000E+01	  +2.5501999999999999E+01	  +4.9113000000000000E+01	  +1.3539000000000000E+01	  +1.1627829765103503E+01	  +6.1156999999999996E+01	  +7.1596901877292154E+01	  +8.4879472222222219E-01	  +9.1005447647418547E-01	  +3.5210338888888888E+00	  +3.7387499553941610E+00	  +1.8857927777777779E+00	  +2.1871735663832044E+00	  +1.6352413888888888E+00	  +1.5515763890109562E+00	
  +8.3333333333333329E-02	  +3.0000000000000000E+02	  +5.3548000000000002E+01	  +4.1003999999999998E+01	  +2.5446000000000002E+01	  +3.8597000000000001E+01	  +1.3446000000000000E+01	  +1.4712640256514243E+01	  +7.1108999999999995E+01	  +5.8351017624606364E+01	  +8.6525638888888878E-01	  +8.8827128485533835E-01	  +3.5304180555555553E+00	  +3.6705590332246527E+00	  +2.9174694444444444E+00	  +2.6050585911299353E+00	  +6.1294861111111110E-01	  +1.0655004420947174E+00	
  +1.0000000000000001E-01	  +3.6000000000000000E+02	  +5.3826999999999998E+01	  +4.1082000000000001E+01	  +2.5497000000000000E+01	  +5.4843000000000004E+01	  +1.3459000000000000E+01	  +1.1461036918258873E+01	  +5.8787999999999997E+01	  +6.9941311570377550E+01	  +8.5708444444444443E-01	  +8.9486526225142837E-01	  +3.5135211111111109E+00	  +3.6922276530486196E+00	  +1.6236402777777776E+00	  +1.8934259501205897E+00	  +1.8898808333333332E+00	  +1.7988017029280301E+00	
  +1.1666666666666667E-01	  +4.2000000000000000E+02	  +5.3719000000000001E+01	  +4.0948000000000000E+01	  +2.5463000000000001E+01	  +5.5853000000000002E+01	  +1.3551000000000000E+01	  +9.7020661336623224E+00	  +3.9777000000000001E+01	  +6.8318117063173091E+01	  +8.4305944444444447E-01	  +8.9213678407578956E-01	  +3.6210725000000004E+00	  +3.6910061599843691E+00	  +1.3914375000000001E+00	  +1.8449843564680031E+00	  +2.2296350000000000E+00	  +1.8460218035163660E+00	
  +1.3333333333333333E-01	  +4.8000000000000000E+02	  +5.4482999999999997E+01	  +4.0856999999999999E+01	  +2.5416000000000000E+01	  +6.1363000000000000E+01	  +1.3579000000000001E+01	  +1.3886357233180130E+01	  +7.1054000000000002E+01	  +6.4831602730959986E+01	  +8.4830305555555563E-01	  +9.0905115991939844E-01	  +3.6307800000000001E+00	  +3.7449906892070652E+00	  +1.6557725000000001E+00	  +1.6107617566038139E+00	  +1.9750075000000000E+00	  +2.1342289326032513E+00	
  +1.4999999999999999E-01	  +5.4000000000000000E+02	  +5.3281999999999996E+01	  +4.1268000000000001E+01	  +2.5466000000000001E+01	  +5.6485999999999997E+01	  +1.3685000000000000E+01	  +1.2988286810460508E+01	  +6.0536999999999999E+01	  +6.8569513949506927E+01	  +8.5375805555555551E-01	  +8.8268214392140332E-01	  +3.7302419444444443E+00	  +3.6469172314241742E+00	  +1.6936305555555555E+00	  +1.7948624656659005E+00	  +2.0366113888888888E+00	  +1.8520547657582738E+00	
