 TIME                    	t                        	f-sim                    	f-exp                    	Tr-sim                   	Tr-exp                   	RHr-sim                  	RHr-exp                  	Ts-sim                   	Ts-exp                   	RHs-sim                  	RHs-exp                  	Toa                      	Pel-sim                  	Pel-exp                  	Qcs-sim                  	Qcs-exp                  	Qcl-sim                  	Qcl-exp                  	Qc-sim                   	Qc-exp                   	
  +0.0000000000000000E+00	  +6.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3299238374627762E+01	  +2.2887000000000000E+01	  +7.1200999999999993E+01	  +7.1200999999999993E+01	  +2.3299882674803630E+01	  +2.3129000000000001E+01	  +5.0000000000000000E+01	  +5.4295999999999999E+01	  +2.2196999999999999E+01	  +0.0000000000000000E+00	  -5.4519444444444442E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  -1.0000000000000000E-02
  +1.6666666666666666E-02	  +6.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3299238374627762E+01	  +2.2887000000000000E+01	  +7.1200999999999993E+01	  +7.1200999999999993E+01	  +2.3299882674803630E+01	  +2.3129000000000001E+01	  +5.0000000000000000E+01	  +5.4295999999999999E+01	  +2.2196999999999999E+01	  +0.0000000000000000E+00	  -5.4519444444444442E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  -1.0000000000000000E-02	
  +3.3333333333333333E-02	  +1.2000000000000000E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3235781864009105E+01	  +2.2869000000000000E+01	  +6.8585999999999999E+01	  +6.8585999999999999E+01	  +2.3239427461496469E+01	  +2.3132999999999999E+01	  +4.9999999999999993E+01	  +6.2582000000000001E+01	  +2.2210999999999999E+01	  +0.0000000000000000E+00	  -5.8616666666666669E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  -1.0000000000000000E-02	
  +5.0000000000000003E-02	  +1.8000000000000000E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3176439854758126E+01	  +2.2847000000000001E+01	  +4.4945000000000000E+01	  +4.4945000000000000E+01	  +2.3180022141128827E+01	  +2.3120999999999999E+01	  +5.0000000000000000E+01	  +7.1102999999999994E+01	  +2.2206000000000000E+01	  +0.0000000000000000E+00	  -5.6566666666666666E-03	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	
  +6.6666666666666666E-02	  +2.4000000000000000E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3121052362925884E+01	  +2.2919000000000000E+01	  +4.0204000000000001E+01	  +4.0204000000000001E+01	  +2.3124406143831035E+01	  +2.3138000000000002E+01	  +4.9999999999999993E+01	  +4.0262999999999998E+01	  +2.2228000000000002E+01	  +0.0000000000000000E+00	  -5.6569444444444436E-03	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	
  +8.3333333333333329E-02	  +3.0000000000000000E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3070526576486383E+01	  +2.2930000000000000E+01	  +7.1204999999999998E+01	  +7.1204999999999998E+01	  +2.3073590862458701E+01	  +2.3201000000000001E+01	  +5.0000000000000000E+01	  +7.1031000000000006E+01	  +2.2263000000000002E+01	  +0.0000000000000000E+00	  -5.5555555555555558E-03	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	
  +1.0000000000000001E-01	  +3.6000000000000000E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3025061403194258E+01	  +2.2986000000000001E+01	  +6.9828999999999994E+01	  +6.9828999999999994E+01	  +2.3027821413131171E+01	  +2.3219999999999999E+01	  +4.9999999999999993E+01	  +4.8514000000000003E+01	  +2.2302000000000000E+01	  +0.0000000000000000E+00	  -5.2466666666666668E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  -1.0000000000000000E-02	
  +1.1666666666666667E-01	  +4.2000000000000000E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2983607594994183E+01	  +2.3006000000000000E+01	  +4.5430999999999997E+01	  +4.5430999999999997E+01	  +2.2986122162006815E+01	  +2.3210999999999999E+01	  +5.0000000000000014E+01	  +6.2710999999999999E+01	  +2.2312000000000001E+01	  +0.0000000000000000E+00	  -5.2469444444444438E-03	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	
  +1.3333333333333333E-01	  +4.8000000000000000E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2945510580718150E+01	  +2.3027000000000001E+01	  +4.1549999999999997E+01	  +4.1549999999999997E+01	  +2.2947820278159856E+01	  +2.3212000000000000E+01	  +5.0000000000000000E+01	  +6.9027000000000001E+01	  +2.2335000000000001E+01	  +0.0000000000000000E+00	  -5.3508333333333342E-03	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	
  +1.4999999999999999E-01	  +5.4000000000000000E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2911720872052683E+01	  +2.3058000000000000E+01	  +7.0363000000000000E+01	  +7.0363000000000000E+01	  +2.2913773949113146E+01	  +2.3221000000000000E+01	  +5.0000000000000000E+01	  +3.9191000000000003E+01	  +2.2384000000000000E+01	  +0.0000000000000000E+00	  -5.0419444444444444E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.0000000000000000E-02	  +0.0000000000000000E+00	  -1.0000000000000000E-02	
