 TIME                    	time                     	freq                     	Toa                      	Tr                       	Ts-exp                   	Ts-sim                   	Pel-exp                  	Pel-sim                  	Qh-exp                   	Qh-sim                   	Qhair-exp                	
  +0.0000000000000000E+00	  +1.7000000000000001E-02	  +5.3497000000000000E+01	  +1.0237000000000000E+01	  +2.3219000000000001E+01	  +4.1442000000000000E+01	  +4.2803190676231331E+01	  +7.6580027777777770E-01	  +8.1979641637618061E-01	  +3.9328391666666667E+00	  +4.2518938304076519E+00	  +3.7457797222222222E+00
  +1.6666666666666666E-02	  +1.7000000000000001E-02	  +5.3497000000000000E+01	  +1.0237000000000000E+01	  +2.3219000000000001E+01	  +4.1442000000000000E+01	  +4.2803190676231331E+01	  +7.6580027777777770E-01	  +8.1979641637618061E-01	  +3.9328391666666667E+00	  +4.2518938304076519E+00	  +3.7457797222222222E+00	
  +3.3333333333333333E-02	  +3.3000000000000002E-02	  +5.2963999999999999E+01	  +1.0090000000000000E+01	  +2.3260999999999999E+01	  +4.1554000000000002E+01	  +4.2657069112521597E+01	  +7.7146861111111109E-01	  +8.1001436668386562E-01	  +3.9047650000000003E+00	  +4.2112260569231692E+00	  +3.7593250000000000E+00	
  +5.0000000000000003E-02	  +5.0000000000000003E-02	  +5.1744999999999997E+01	  +9.9399999999999995E+00	  +2.3216999999999999E+01	  +4.1500000000000000E+01	  +4.2205578953355968E+01	  +7.5902027777777781E-01	  +7.8203365946490355E-01	  +3.9234202777777778E+00	  +4.1225733266983253E+00	  +3.7577769444444442E+00	
  +6.6666666666666666E-02	  +6.7000000000000004E-02	  +5.3386000000000003E+01	  +9.7530000000000001E+00	  +2.3234999999999999E+01	  +4.1472000000000001E+01	  +4.2465672557400460E+01	  +7.7409055555555562E-01	  +8.2307442653200702E-01	  +3.9272027777777780E+00	  +4.1752081059070694E+00	  +3.7484575000000002E+00	
  +8.3333333333333329E-02	  +8.3000000000000004E-02	  +5.2743000000000002E+01	  +1.0147000000000000E+01	  +2.3388000000000002E+01	  +4.1591999999999999E+01	  +4.2680660430919581E+01	  +7.6442277777777778E-01	  +8.0499103650070603E-01	  +3.9284438888888888E+00	  +4.1893030362732286E+00	  +3.7399138888888892E+00	
  +1.0000000000000001E-01	  +1.0000000000000001E-01	  +5.4930000000000000E+01	  +9.8640000000000008E+00	  +2.3295000000000002E+01	  +4.1546999999999997E+01	  +4.3061500598628413E+01	  +7.7026722222222221E-01	  +8.6048978084033600E-01	  +3.9146500000000000E+00	  +4.2917978976590643E+00	  +3.7506877777777778E+00	
  +1.1666666666666667E-01	  +1.1700000000000001E-01	  +5.4722000000000001E+01	  +9.9580000000000002E+00	  +2.3126000000000001E+01	  +4.1457000000000001E+01	  +4.3011796697968592E+01	  +7.5491388888888888E-01	  +8.5293943912733572E-01	  +3.9274955555555557E+00	  +4.3169792003742673E+00	  +3.7685380555555552E+00	
  +1.3333333333333333E-01	  +1.3300000000000001E-01	  +5.5549999999999997E+01	  +1.0016999999999999E+01	  +2.3213000000000001E+01	  +4.1481000000000002E+01	  +4.3349231295254185E+01	  +7.7165638888888899E-01	  +8.7318480928550402E-01	  +3.9278266666666664E+00	  +4.3717206070033008E+00	  +3.7548699999999999E+00	
  +1.4999999999999999E-01	  +1.4999999999999999E-01	  +5.3893000000000001E+01	  +9.8559999999999999E+00	  +2.3106000000000002E+01	  +4.1417999999999999E+01	  +4.2647742971632979E+01	  +7.6854916666666673E-01	  +8.3335489430588239E-01	  +3.9322111111111107E+00	  +4.2422056686851199E+00	  +3.7649238888888892E+00	
