 TIME                    	time                     	freq-sim                 	freq-exp                 	Toa                      	Tr-sim                   	Tr-exp                   	Ts-sim                   	Ts-exp                   	Pel-sim                  	Pel-exp                  	Qh-sim                   	Qh-exp                   	Qhair                    	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0500000000000000E+01	  -6.2720000000000002E+00	  +2.3333300000000001E+01	  +9.2699999999999996E+00	  +1.8981941321619100E+01	  +2.7373000000000001E+01	  +1.9200000000000002E-02	  +2.4275888888888889E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.6666666666666666E-02	  +1.7000000000000001E-02	  +3.1733333333333334E+01	  +7.4834999999999994E+01	  -5.9580000000000002E+00	  +2.3103856069715025E+01	  +1.4722000000000000E+01	  +2.5030636657807179E+01	  +2.6042000000000002E+01	  +3.7052332848950975E-01	  +6.3829583333333328E-01	  +2.4901135823854120E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +3.3333333333333333E-02	  +3.3000000000000002E-02	  +7.5366666666666660E+01	  +8.5921999999999997E+01	  -7.2089999999999996E+00	  +2.2706423384843248E+01	  +1.7713000000000001E+01	  +2.9772315752270590E+01	  +3.3478000000000002E+01	  +1.5527082953762910E+00	  +1.1656608333333334E+00	  +9.1416754130119826E-01	  +8.3381666666666659E-02	  +2.2986436111111113E+00	
  +5.0000000000000003E-02	  +5.0000000000000003E-02	  +1.0710000000000001E+02	  +1.0692400000000001E+02	  -7.9429999999999996E+00	  +2.2419200447030093E+01	  +1.9556000000000001E+01	  +3.4511956615688021E+01	  +3.8908999999999999E+01	  +2.6437083682933507E+00	  +1.7397663888888888E+00	  +1.5662853099157841E+00	  +1.4021083333333334E-01	  +3.3243419444444444E+00	
  +6.6666666666666666E-02	  +6.7000000000000004E-02	  +1.1900000000000000E+02	  +1.0490200000000000E+02	  -8.4520000000000000E+00	  +2.2225900945716202E+01	  +2.0542999999999999E+01	  +3.8150340161743451E+01	  +3.9835000000000001E+01	  +3.0631297823658943E+00	  +1.7028105555555557E+00	  +2.0647771190518851E+00	  +1.4675138888888886E-01	  +3.3036638888888890E+00	
  +8.3333333333333329E-02	  +8.3000000000000004E-02	  +1.1900000000000000E+02	  +1.0590100000000000E+02	  -8.7910000000000004E+00	  +2.2104075379446229E+01	  +2.1082999999999998E+01	  +4.1046898462558424E+01	  +3.9692000000000000E+01	  +3.0622418978181654E+00	  +1.6727275000000001E+00	  +2.4564090865229682E+00	  +1.5027194444444444E-01	  +3.1845977777777779E+00	
  +1.0000000000000001E-01	  +1.0000000000000001E-01	  +1.1900000000000000E+02	  +1.1450900000000000E+02	  -9.0239999999999991E+00	  +2.2041109512898959E+01	  +2.1222000000000001E+01	  +4.3749260882839458E+01	  +3.8256999999999998E+01	  +3.0623315636514454E+00	  +1.8437341666666667E+00	  +2.8155820703099637E+00	  +1.6136861111111112E-01	  +3.5311719444444440E+00	
  +1.1666666666666667E-01	  +1.1700000000000001E-01	  +1.1900000000000000E+02	  +1.2012000000000000E+02	  -9.2550000000000008E+00	  +2.2030015061605805E+01	  +2.1504000000000001E+01	  +4.6229304700777945E+01	  +3.8707000000000001E+01	  +3.0644443652861719E+00	  +2.0137408333333333E+00	  +3.1388005146251210E+00	  +1.5729611111111111E-01	  +3.5617075000000002E+00	
  +1.3333333333333333E-01	  +1.3300000000000001E-01	  +1.1900000000000000E+02	  +1.1907299999999999E+02	  -9.5480000000000000E+00	  +2.2063335942215858E+01	  +2.1788000000000000E+01	  +4.8432938377019745E+01	  +3.9079000000000001E+01	  +3.0681755521222653E+00	  +2.0023866666666668E+00	  +3.4228516339385959E+00	  +1.6455944444444445E-01	  +3.5760486111111112E+00	
  +1.4999999999999999E-01	  +1.4999999999999999E-01	  +1.1900000000000000E+02	  +1.1958600000000000E+02	  -9.4920000000000009E+00	  +2.2136150571680123E+01	  +2.1641999999999999E+01	  +5.0657200966628530E+01	  +3.9051000000000002E+01	  +3.0704233895349922E+00	  +2.0309447222222223E+00	  +3.7010334564560035E+00	  +1.6455944444444445E-01	  +3.6015205555555556E+00	
