Toa	Twboa	Qh_at_T1	Qh_at_T2	Qh_at_T3	Qh_at_T4	COP_at_T1	COP_at_T2	COP_at_T3	COP_at_T4
-2.610e+01	-2.700e+01	3.620e+00	3.540e+00	3.450e+00	3.280e+00	1.684e+00	1.616e+00	1.547e+00	1.420e+00
-2.060e+01	-2.170e+01	4.630e+00	4.520e+00	4.410e+00	4.190e+00	2.144e+00	2.055e+00	1.969e+00	1.806e+00
-1.500e+01	-1.610e+01	5.110e+00	4.990e+00	4.860e+00	4.620e+00	2.355e+00	2.258e+00	2.160e+00	1.974e+00
-1.000e+01	-1.110e+01	5.360e+00	5.230e+00	5.100e+00	4.850e+00	2.516e+00	2.399e+00	2.297e+00	2.109e+00
-5.000e+00	-7.200e+00	5.860e+00	5.720e+00	5.580e+00	5.300e+00	2.790e+00	2.673e+00	2.560e+00	2.345e+00
0.000e+00	-2.200e+00	6.030e+00	5.880e+00	5.740e+00	5.450e+00	2.913e+00	2.787e+00	2.670e+00	2.444e+00
5.000e+00	2.800e+00	6.580e+00	6.430e+00	6.270e+00	5.960e+00	3.500e+00	3.349e+00	3.199e+00	2.922e+00
8.300e+00	6.100e+00	6.800e+00	6.640e+00	6.480e+00	6.150e+00	3.656e+00	3.495e+00	3.340e+00	3.045e+00
1.000e+01	8.300e+00	7.520e+00	7.340e+00	7.160e+00	6.800e+00	4.065e+00	3.884e+00	3.710e+00	3.400e+00
1.500e+01	1.000e+01	7.790e+00	7.600e+00	7.420e+00	7.050e+00	4.750e+00	4.524e+00	4.339e+00	3.961e+00
