nu	phic1	phic1s	phic1s	phic2
0.830	0.799	0.421	0.378	0.748
0.767	0.771	0.410	0.361	0.699
0.752	0.764	0.404	0.360	0.694
0.759	0.761	0.404	0.357	0.696
0.733	0.764	0.402	0.363	0.701
0.758	0.758	0.400	0.359	0.703
0.750	0.759	0.409	0.351	0.709
0.783	0.750	0.399	0.351	0.703
0.736	0.758	0.409	0.349	0.688
0.742	0.753	0.399	0.354	0.691
0.726	0.754	0.412	0.342	0.697
0.758	0.751	0.403	0.349	0.701
0.768	0.758	0.402	0.356	0.712
0.744	0.752	0.402	0.350	0.699
0.751	0.755	0.408	0.347	0.702
0.785	0.749	0.411	0.338	0.707
0.724	0.748	0.406	0.342	0.713
0.792	0.749	0.403	0.346	0.694
0.751	0.713	0.387	0.326	0.654
0.785	0.744	0.405	0.339	0.698
0.754	0.749	0.408	0.341	0.714
0.733	0.712	0.388	0.324	0.650
0.728	0.701	0.377	0.324	0.650
0.777	0.704	0.385	0.319	0.645
0.786	0.739	0.402	0.338	0.698
0.740	0.741	0.401	0.340	0.706
0.759	0.698	0.384	0.314	0.658
0.750	0.698	0.378	0.320	0.655
0.848	0.849	0.412	0.437	0.722
0.786	0.840	0.416	0.425	0.720
0.803	0.842	0.408	0.434	0.734
0.821	0.837	0.413	0.424	0.731
0.803	0.831	0.412	0.420	0.721
0.805	0.815	0.411	0.404	0.726
0.804	0.827	0.417	0.410	0.735
0.830	0.822	0.415	0.408	0.732
0.825	0.816	0.418	0.398	0.752
0.821	0.816	0.408	0.409	0.755
0.759	0.775	0.397	0.377	0.709
0.769	0.773	0.404	0.369	0.702
0.803	0.813	0.430	0.383	0.740
0.805	0.804	0.423	0.380	0.763
0.803	0.803	0.420	0.383	0.762
0.794	0.802	0.426	0.376	0.770
0.830	0.799	0.421	0.378	0.748
0.760	0.790	0.425	0.365	0.753
0.819	0.748	0.390	0.358	0.703
0.740	0.755	0.403	0.352	0.710
0.742	0.758	0.407	0.351	0.708
0.760	0.753	0.404	0.349	0.703
0.751	0.756	0.404	0.353	0.708
0.771	0.756	0.407	0.349	0.715
0.733	0.750	0.403	0.347	0.716
0.786	0.797	0.428	0.369	0.769
0.803	0.790	0.426	0.365	0.770
0.849	0.784	0.432	0.352	0.759
0.794	0.879	0.438	0.441	0.727
0.820	0.841	0.417	0.425	0.729
0.828	0.832	0.409	0.423	0.734
0.812	0.835	0.412	0.424	0.752
0.820	0.836	0.411	0.426	0.740
0.814	0.829	0.414	0.416	0.739
0.805	0.803	0.404	0.399	0.737
0.883	0.824	0.417	0.406	0.736
0.787	0.829	0.426	0.403	0.747
0.820	0.814	0.419	0.395	0.750
0.794	0.815	0.422	0.393	0.766
0.751	0.780	0.405	0.375	0.703
0.821	0.799	0.417	0.383	0.749
0.795	0.801	0.423	0.378	0.755
0.759	0.770	0.402	0.369	0.703
0.795	0.796	0.417	0.379	0.765
0.822	0.796	0.425	0.371	0.774
0.831	0.793	0.418	0.375	0.771
0.726	0.749	0.398	0.351	0.703
0.786	0.755	0.402	0.353	0.710
0.764	0.755	0.400	0.355	0.714
0.714	0.754	0.404	0.350	0.710
0.794	0.751	0.403	0.347	0.699
0.728	0.751	0.405	0.347	0.715
0.759	0.747	0.404	0.343	0.709
